"ID","City","Type","Make","Model","Year","Color","Trim","CreatedAt","Days","Trips","T/D","$day","Busy30","Gross30","Gross365","Plan","Favs","Reviews","StarHost","URL","Features","Avg Market $*","Depreciation Y1*","Insurance Y*","Maintenance Y*","Avg Repairs Y*"
"2174493","Montréal, QC","SUV","Mazda","CX-5","2015","","GX","8/14/2023","4","0","0.00","115","0","0","0","Turo Standard","1","0","true","https://turo.com/ca/en/suv-rental/canada/montreal-qc/mazda/cx-5/2174493","AUX input, Bluetooth, Child seat, Heated seats, USB charger, USB input","13176","1638","1848","1489","1020"
"2163916","Laval, QC","SUV","Mazda","CX-5","2018","","GS","8/7/2023","11","0","0.00","121","0","0","0","Turo Standard","2","0","false","https://turo.com/ca/en/suv-rental/canada/laval-qc/mazda/cx-5/2163916","All-wheel drive, AUX input, Backup camera, Blind spot warning, Bluetooth, Heated seats, Snow tires or chains, USB charger","21878","2370","2045","1392","835"
"2130813","Montréal, QC","SUV","Mazda","CX-9","2023","OTHER","GT","7/17/2023","32","3","0.09","190","16","2770","2770","Turo Standard","10","3","false","https://turo.com/ca/en/suv-rental/canada/montreal-qc/mazda/cx-9/2130813","All-wheel drive, Android Auto, Apple CarPlay, Backup camera, Blind spot warning, Bluetooth, Heated seats, Sunroof, USB input","50215","","","",""
"2162977","Montreal, QC","CAR","Mercedes-Benz","E-Class","2016","","E 400","8/7/2023","11","0","0.00","146","0","0","0","Turo Standard","7","0","false","https://turo.com/ca/en/car-rental/canada/montreal-qc/mercedes-benz/e-class/2162977","All-wheel drive, AUX input, Backup camera, Blind spot warning, Bluetooth, GPS, Heated seats, Keyless entry, Sunroof, USB charger, USB input","22141","2816","2003","1677","1033"
"2036997","Montreal, QC","CAR","Volkswagen","e-Golf","2017","GRAY","Comfortline","5/18/2023","92","18","0.20","155","11","1336","3840","Turo Standard","92","16","false","https://turo.com/ca/en/car-rental/canada/montreal-qc/volkswagen/e-golf/2036997","Android Auto, Apple CarPlay, AUX input, Backup camera, Bluetooth, Heated seats, Keyless entry, Long-term car, USB charger, USB input","19037","2206","1990","1463","918"
"1611813","Laval, QC","CAR","Volkswagen","e-Golf","2020","BLACK","Comfortline","7/22/2022","392","2","0.01","170","0","0","0","Turo Standard","21","2","false","https://turo.com/ca/en/car-rental/canada/laval-qc/volkswagen/e-golf/1611813","Apple CarPlay, Backup camera, Bluetooth, Heated seats, Keyless entry, USB input","29792","","","",""
"2159694","Laval, QC","SUV","Jaguar","E-PACE","2018","","R-Dynamic HSE","8/4/2023","14","1","0.07","199","0","0","0","Turo Standard","4","1","true","https://turo.com/ca/en/suv-rental/canada/laval-qc/jaguar/e-pace/2159694","All-wheel drive, Android Auto, Apple CarPlay, AUX input, Backup camera, Blind spot warning, Bluetooth, GPS, Heated seats, Keyless entry, Snow tires or chains, Sunroof, Toll pass, USB charger, USB input","29307","3227","2106","1536","899"
"1659090","Dorval, QC","SUV","Mitsubishi","Eclipse Cross","2019","","SE","8/17/2022","366","0","0.00","235","0","0","0","Turo Standard","0","0","false","https://turo.com/ca/en/suv-rental/canada/dorval-qc/mitsubishi/eclipse-cross/1659090","","18337","2042","2057","1198","692"
"1732868","Montréal, QC","CAR","Hyundai","Elantra","2016","SILVER","GL","10/6/2022","316","41","0.13","85","13","655","6740","Turo Standard","41","28","false","https://turo.com/ca/en/car-rental/canada/montreal-qc/hyundai/elantra/1732868","AUX input, Bluetooth, Heated seats, Snow tires or chains, USB input","11055","1663","1887","1405","939"
"2049066","Montréal, QC","CAR","Hyundai","Elantra","2012","","GLS","5/26/2023","84","22","0.26","104","9","729","2366","Turo Standard","27","13","false","https://turo.com/ca/en/car-rental/canada/montreal-qc/hyundai/elantra/2049066","Heated seats, Keyless entry, Long-term car, Sunroof, USB charger","7674","1384","1709","1510","1033"
"2060930","Montréal, QC","CAR","Hyundai","Elantra","2023","WHITE","N Line Ultimate","6/3/2023","76","6","0.08","106","10","741","2348","Turo Standard","13","6","false","https://turo.com/ca/en/car-rental/canada/montreal-qc/hyundai/elantra/2060930","Android Auto, Apple CarPlay, AUX input, Backup camera, Blind spot warning, Bluetooth, GPS, Heated seats, Snow tires or chains, Sunroof, USB charger, USB input","28464","2373","2332","685","299"
"1083428","Montréal, QC","CAR","Hyundai","Elantra","2017","BLACK","GLS","7/18/2021","761","22","0.03","110","2","250","5961","Turo Standard","40","15","false","https://turo.com/ca/en/car-rental/canada/montreal-qc/hyundai/elantra/1083428","Android Auto, Apple CarPlay, AUX input, Backup camera, Blind spot warning, Bluetooth, GPS, Heated seats, Long-term car, Snow tires or chains, USB charger, USB input","13221","1803","1944","1355","870"
"1969191","Montréal, QC","CAR","Hyundai","Elantra","2018","SILVER","","4/2/2023","138","1","0.01","100","1","100","250","Turo Standard","5","0","false","https://turo.com/ca/en/car-rental/canada/montreal-qc/hyundai/elantra/1969191","Android Auto, Apple CarPlay, AUX input, Backup camera, Blind spot warning, Bluetooth, GPS, Heated seats, Keyless entry, Snow tires or chains, Sunroof, USB charger, USB input","16730","2063","2015","1321","804"
"2006975","Montréal, QC","CAR","Hyundai","Elantra","2017","BLUE","GLS","4/28/2023","112","26","0.23","100","15","1500","3299","Turo Standard","46","23","true","https://turo.com/ca/en/car-rental/canada/montreal-qc/hyundai/elantra/2006975","All-wheel drive, Android Auto, Apple CarPlay, AUX input, Backup camera, Blind spot warning, Bluetooth, Heated seats, USB input","13221","1803","1944","1355","870"
